User;Note;Noteur;Feedback
david_a;9;howard_s;2
bruce_w;6;ludovic_k;3
mathieu_c;15;maelle_m;0
didier_f;;georges_b;
howard_s;;leo_g;
marcel_j;0;roxane_e;0
leo_g;10;mathieu_c;1
adam_e;1;francois_h;0
ludovic_k;7;sandra_n;1
francois_h;16;bertrand_y;1
sandra_n;;trevor_r;
jean_t;7;howard_s;4
francois_h;19;hans_z;1
laurent_g;6;jean_t;2
marie_c;1;steve_j;5
sandra_n;7;marcel_j;5
didier_f;19;joseph_c;0
dexter_m;2;nicolas_s;4
clark_k;9;marcel_j;4
dexter_m;4;joseph_c;0
clark_k;20;nicolas_s;0
hans_z;;joseph_c;
clark_k;1;adam_e;5
georges_b;8;lois_l;0
melissa_v;;jean_t;
steve_j;20;steve_j;2
lois_l;1;nicolas_s;5
steve_j;12;nicolas_s;3
joseph_c;6;marie_c;4
francois_h;19;john_w;1
bertrand_y;;ludovic_k;
mathieu_c;1;joseph_c;1
nicolas_s;;marie_c;
howard_s;;joseph_c;
mathieu_c;16;moulinette;1
joseph_c;2;laurent_g;4
laurent_g;12;dexter_m;5
hans_z;16;marie_c;5
david_a;16;moulinette;5
adam_e;17;dexter_m;2
lois_l;15;maelle_m;5
olivier_z;8;jean_t;2
lois_l;20;francois_h;4
maelle_m;0;dexter_m;2
trevor_r;13;jean_t;4
jean_t;8;roxane_e;2
marcel_j;;olivier_z;
melissa_v;10;clark_k;5
ludovic_k;13;marie_c;1
marie_c;5;nicolas_s;1
didier_f;1;roxane_e;0
howard_s;0;david_a;0
ludovic_k;;didier_f;
maelle_m;0;marie_c;1
olivier_z;19;nicolas_s;5
michel_r;;marie_c;
adam_e;;trevor_r;
olivier_z;18;david_a;0
steve_j;1;moulinette;2
marcel_j;5;leo_g;0
jean_t;10;moulinette;1
david_a;;steve_j;
maelle_m;;olivier_z;
adam_e;;steve_j;
francois_h;;lois_l;
howard_s;14;lois_l;4
maelle_m;;jean_t;
steve_j;;mathieu_c;
leo_g;0;john_w;2
john_w;;john_w;
roxane_e;3;olivier_z;1
bruce_w;10;lois_l;5
georges_b;;georges_b;
marcel_j;11;laurent_g;4
dexter_m;0;steve_j;5
adam_e;17;john_w;1
olivier_z;;laurent_g;
marie_c;;john_w;
howard_s;4;nicolas_s;1
georges_b;17;marcel_j;5
georges_b;9;bertrand_y;5
georges_b;11;hans_z;1
mathieu_c;12;hans_z;4
marie_c;;roxane_e;
steve_j;;clark_k;
john_w;4;marie_c;1
john_w;;laurent_g;
maelle_m;14;john_w;1
didier_f;6;marie_c;3
bertrand_y;17;georges_b;2
mathieu_c;19;mathieu_c;1
roxane_e;6;melissa_v;2
francois_h;13;didier_f;1
mathieu_c;1;melissa_v;3
maelle_m;;laurent_g;
roxane_e;4;clark_k;2
john_w;13;moulinette;4
bruce_w;6;marcel_j;5
dexter_m;18;francois_h;3
roxane_e;;hans_z;
leo_g;;trevor_r;
bruce_w;16;adam_e;5
david_a;0;melissa_v;2
maelle_m;1;roxane_e;5
clark_k;;steve_j;
steve_j;;david_a;
michel_r;;melissa_v;
nicolas_s;;marcel_j;
jean_t;;michel_r;
didier_f;;melissa_v;
didier_f;;marcel_j;
georges_b;16;steve_j;4
roxane_e;4;lois_l;1
steve_j;;hans_z;
maelle_m;9;joseph_c;5
francois_h;;ludovic_k;
clark_k;18;georges_b;4
francois_h;12;michel_r;4
jean_t;;melissa_v;
georges_b;16;mathieu_c;4
laurent_g;20;leo_g;0
leo_g;18;joseph_c;1
nicolas_s;0;adam_e;5
howard_s;7;sandra_n;1
michel_r;;joseph_c;
david_a;12;jean_t;2
ludovic_k;15;moulinette;0
leo_g;10;francois_h;5
marie_c;13;bruce_w;4
francois_h;17;nicolas_s;2
georges_b;9;adam_e;0
lois_l;3;marie_c;4
maelle_m;8;lois_l;0
laurent_g;;maelle_m;
